[2020-03-16 00:55:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/5.jpg
[2020-03-16 00:55:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/blog/1.jpg
[2020-03-16 00:55:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/blog/3.jpg
[2020-03-16 00:55:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/blog/2.jpg
[2020-03-16 00:57:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-03-16 00:57:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/about/1.jpg
[2020-03-16 00:57:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/4.jpg
[2020-03-16 00:57:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/8.jpg
[2020-03-16 00:57:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/1.jpg
[2020-03-16 00:57:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/round-shape.png
[2020-03-16 00:57:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/2.jpg
[2020-03-16 00:57:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/5.jpg
[2020-03-16 00:57:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/portfolio/6.jpg
[2020-03-16 00:57:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/team/7.jpg
[2020-03-16 00:57:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/blog/1.jpg
[2020-03-16 00:57:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/blog/2.jpg
[2020-03-16 00:57:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/blog/3.jpg
[2020-03-16 01:05:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/img/banner/8.jpg
[2020-03-16 01:10:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /index.html
[2020-03-16 01:13:09] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /index.html
[2020-03-16 01:14:58] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /index.html
[2020-03-16 01:15:14] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:18:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /index.html
[2020-03-16 01:18:21] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:18:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /index.html
[2020-03-16 01:18:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:19:04] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-03-16 01:19:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:23:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-03-16 01:23:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:24:15] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /
[2020-03-16 01:24:16] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:24:21] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /
[2020-03-16 01:24:22] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:24:25] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /
[2020-03-16 01:24:26] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:24:29] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /
[2020-03-16 01:24:30] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:30:54] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /
[2020-03-16 01:30:57] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /assets/bunas/css/bootstrap.min.css.map
[2020-03-16 01:31:50] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /images/default/no-image.png
[2020-03-16 01:32:34] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-03-16 01:32:36] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
