[2020-05-05 16:16:41] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /blog/assets/img/portfolio/2.jpg
[2020-05-05 16:16:42] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-05 16:16:43] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /blog/assets/img/portfolio/5.jpg
[2020-05-05 16:16:43] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /blog/assets/img/portfolio/6.jpg
[2020-05-05 16:18:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-05 16:26:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe-laptop-cu-cua-ban-sap-chay-muot-hon.html
[2020-05-05 16:26:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/2.jpg
[2020-05-05 16:26:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/1.jpg
[2020-05-05 16:26:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/5.jpg
[2020-05-05 16:26:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/3.jpg
[2020-05-05 16:26:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/4.jpg
[2020-05-05 16:26:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-05 16:26:45] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-05 16:26:45] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/6.jpg
[2020-05-05 16:26:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe-laptop-cu-cua-ban-sap-chay-muot-hon.html
[2020-05-05 16:26:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/2.jpg
[2020-05-05 16:26:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/4.jpg
[2020-05-05 16:26:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-05 16:26:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/3.jpg
[2020-05-05 16:26:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/1.jpg
[2020-05-05 16:26:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/5.jpg
[2020-05-05 16:26:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-05-05 16:26:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/6.jpg
[2020-05-05 16:27:55] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/cong-nghe-laptop-cu-cua-ban-sap-chay-muot-hon.html
[2020-05-05 16:27:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/720x300/z23729042020-5eace3c4280f0.jpg
[2020-05-05 16:27:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/5.jpg
[2020-05-05 16:27:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/2.jpg
[2020-05-05 16:27:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /blog/assets/img/portfolio/3.jpg
