[2020-06-03 15:21:46] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/aaaa-5ed487d673458.jpg
[2020-06-03 15:21:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/business-corporate-website-inspiration-web-design-ui-07-5ed4bdec5447e.jpg
[2020-06-03 15:21:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/portfolio-la-gi-01-24-5ed4b418b0e87.jpg
[2020-06-03 15:21:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /dich-vu/thuong-mai-dien-tu.html
[2020-06-03 15:21:54] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/800x300/ecommerce-01-5ed4c0125b385.png
[2020-06-03 15:22:53] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add?service_id=6&package_id=17
[2020-06-03 15:23:35] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add
[2020-06-03 15:24:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add
[2020-06-03 15:24:36] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/list
[2020-06-03 15:28:57] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/list
[2020-06-03 15:29:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/list
[2020-06-03 15:29:10] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add
[2020-06-03 15:29:58] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add
[2020-06-03 15:30:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/list
[2020-06-03 15:34:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add
[2020-06-03 15:35:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add
[2020-06-03 15:35:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/list
[2020-06-03 15:36:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-03 15:39:35] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-03 15:39:38] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-03 15:39:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/bunas/css/bootstrap.min.css.map
[2020-06-03 15:39:51] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /services/add
