[2020-06-26 18:27:12] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-26 18:27:13] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-26 18:36:38] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 18:36:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-26 18:36:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-26 18:36:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-26 18:36:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 18:36:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 18:38:12] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 18:38:15] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-26 18:38:15] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-26 18:38:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 18:38:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-26 18:38:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 18:42:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/update-cart-quantity
[2020-06-26 18:46:35] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 18:46:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-26 18:46:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-26 18:46:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-26 18:46:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 18:46:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 18:46:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/update-cart-quantity
[2020-06-26 18:47:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/update-cart-quantity
[2020-06-26 18:54:24] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 18:54:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 18:54:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 18:59:38] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 18:59:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 18:59:42] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 19:02:14] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-26 19:02:14] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-26 19:02:18] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-26 19:11:44] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /gio-hang.html
[2020-06-26 19:12:08] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /gio-hang.html
[2020-06-26 19:12:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 19:12:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-26 19:12:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-26 19:12:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-26 19:12:34] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 19:12:34] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 19:14:49] ip: 127.0.0.1, mac: , OS: Android, Brower: Handheld Browser, path: /gio-hang.html
[2020-06-26 19:14:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 19:15:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-26 19:15:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-26 19:15:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 19:15:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-26 19:15:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 23:40:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-06-26 23:40:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 23:40:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-26 23:42:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /gio-hang.html
[2020-06-26 23:42:09] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-26 23:42:10] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
