[2020-06-29 00:51:36] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/popper.min.js.map
[2020-06-29 00:51:38] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /check-auth
[2020-06-29 00:51:38] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /cart/check-data
[2020-06-29 01:03:52] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /
[2020-06-29 01:03:54] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/css/bootstrap.min.css.map
[2020-06-29 01:03:55] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/bootstrap.min.js.map
[2020-06-29 01:03:55] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/popper.min.js.map
[2020-06-29 01:03:56] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /check-auth
[2020-06-29 01:03:56] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /cart/check-data
[2020-06-29 01:04:40] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /
[2020-06-29 01:04:42] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /images/restaurant-slider-2.jpg
[2020-06-29 01:04:42] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/css/bootstrap.min.css.map
[2020-06-29 01:04:42] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /assets/noof-food/mobile/js/bootstrap.min.js.map
[2020-06-29 01:04:43] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /check-auth
[2020-06-29 01:04:43] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /cart/check-data
[2020-06-29 01:49:01] ip: 127.0.0.1, mac: , OS: iPhone, Brower: Handheld Browser, path: /
