[2020-07-07 15:31:41] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-07-07 15:31:59] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-07 15:32:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-07 15:34:43] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /login
[2020-07-07 15:34:56] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /post-login
[2020-07-07 16:12:24] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/gioi-thieu.html
[2020-07-07 16:12:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-07-07 16:12:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-07 16:12:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-07 16:12:30] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-07 16:12:32] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-07 16:12:33] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-07 16:13:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-07 16:13:31] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-07 16:14:39] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-07-07 16:14:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-07 16:14:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-07 16:22:09] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /
[2020-07-07 16:22:15] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-07 16:22:15] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
